RowID,label,CustomerID,TransactionID,TransactionDate,ProductCategory,PurchaseAmount,CustomerAgeGroup,CustomerGender,CustomerRegion,CustomerSatisfaction,RetailChannel
76,Growth,12357,TX1013,2023-01-27,Health & Beauty,129.99,35-44,Male,East,5,Online
77,Decline,12507,TX2008,2023-01-29,Books,129.99,18-24,Male,South,1,Physical Store
78,Stable,12357,TX1013,2023-01-27,Groceries,18.99,25-34,Male,North,4,Physical Store
79,Promising,12357,TX1013,2023-02-08,Home & Garden,129.99,18-24,Male,West,4,Online
80,Growth,12357,TX1013,2023-01-27,Groceries,39.99,45-54,Female,South,4,Online
81,Decline,12357,TX1013,2023-01-27,Sporting Goods,249.99,35-44,Male,North,2,Physical Store
82,Stable,12357,TX1013,2023-01-27,Groceries,45.99,25-34,Female,North,4,Physical Store
83,Promising,23463,TX1013,2023-02-18,Health & Beauty,79.99,45-54,Male,South,3,Online
84,Growth,12357,TX1013,2023-02-19,Groceries,99.99,18-24,Male,North,3,Physical Store
85,Promising,12358,TX1014,2023-01-28,Clothing & Fashion,129.99,35-44,Female,North,5,Online
86,Growth,12358,TX1014,2023-01-28,Clothing & Fashion,99.99,25-34,Female,North,4,Physical Store
87,Decline,12508,TX2009,2023-01-30,Health & Beauty,99.99,55+,Female,West,1,Online
88,Stable,12358,TX1014,2023-01-28,Clothing & Fashion,39.99,35-44,Female,East,4,Online
89,Promising,12358,TX1014,2023-02-09,Sporting Goods,49.99,35-44,Female,North,5,Online
90,Growth,12358,TX1014,2023-01-28,Electronics,899.99,25-34,Male,North,5,Physical Store
91,Decline,12358,TX1014,2023-01-28,Toys & Games,109.99,45-54,Female,West,1,Online
92,Stable,12358,TX1014,2023-01-28,Clothing & Fashion,39.99,35-44,Male,South,4,Online
93,Promising,23464,TX1014,2023-02-19,Groceries,39.99,18-24,Female,East,4,Physical Store
94,Growth,12358,TX1014,2023-02-20,Electronics,199.99,25-34,Female,South,5,Online
95,Promising,12359,TX1015,2023-01-29,Books,69.99,25-34,Male,East,4,Physical Store
96,Growth,12359,TX1015,2023-01-29,Groceries,49.99,18-24,Male,South,3,Online
97,Unknown,12509,TX2010,2023-01-31,Sporting Goods,249.99,25-34,Male,East,1,Physical Store
98,Stable,12359,TX1015,2023-01-29,Sporting Goods,24.99,18-24,Male,West,3,Physical Store
99,Promising,12359,TX1015,2023-02-10,Books,39.99,25-34,Male,South,5,Physical Store
